Time,Reading
06:32.0,0
06:32.0,-0.1
06:32.0,-0.04
06:32.0,-0.1
06:32.0,-0.04
06:32.0,-0.1
06:32.0,-0.04
06:32.0,-0.06
06:32.0,-0.08
06:32.0,-0.14
06:32.0,0
06:32.0,-0.1
06:32.0,-0.14
06:32.0,-0.08
06:32.0,-0.04
06:32.0,-0.02
06:32.0,-0.1
06:32.0,-0.04
06:32.0,-0.18
06:32.0,-0.02
06:32.0,-0.16
06:32.0,0
06:32.0,-0.12
06:32.0,0
06:32.0,-0.06
06:32.0,0
06:32.0,-0.08
06:32.0,-0.06
06:32.0,-0.08
06:32.0,-0.04
06:32.0,-0.1
06:32.0,-0.04
06:32.0,0
06:32.0,-0.14
06:32.0,-0.04
06:32.0,0
06:32.0,-0.06
06:32.0,0.02
06:32.0,-0.04
06:32.0,0.02
06:32.0,0.02
06:32.0,0.04
06:32.0,0
06:32.0,0
06:32.0,0.04
06:32.0,-0.04
06:32.0,0.12
06:32.0,0.02
06:32.0,0.14
06:32.0,0
06:32.0,0.12
06:32.0,0.04
06:32.0,0.06
06:32.0,-0.06
06:32.0,0.16
06:32.0,0
06:32.0,0.08
06:32.0,0.06
06:32.0,0.14
06:32.0,-0.02
06:32.0,0.1
06:32.0,0.14
06:32.0,0.04
06:32.0,0.14
06:32.0,0.04
06:32.0,0.14
06:32.0,0.02
06:32.0,0.12
06:32.0,0.02
06:32.0,0.2
06:32.0,-0.04
06:32.0,0.12
06:32.0,0.02
06:32.0,0.18
06:32.0,0.1
06:32.0,0.12
06:32.0,0.18
06:32.0,0.08
06:32.0,0.04
06:32.0,0.26
06:32.0,0.18
06:32.0,0.12
06:32.0,0.02
06:32.0,0.18
06:32.0,0.14
06:32.0,0.1
06:32.0,0.24
06:32.0,0.06
06:32.0,0.18
06:32.0,0.18
06:32.0,0.16
06:32.0,0.1
06:32.0,0.22
06:32.0,0.16
06:32.0,0.2
06:32.0,0.14
06:32.0,0.2
06:32.0,0.22
06:32.0,0.14
06:32.0,0.16
06:32.0,0.38
06:32.0,0.08
06:32.0,0.18
06:32.0,0.12
06:32.0,0.08
06:32.0,0.16
06:32.0,0.04
06:32.0,0.02
06:32.0,-0.06
06:32.0,0.06
06:32.0,-0.06
06:32.0,0.04
06:32.0,-0.04
06:32.0,0
06:32.0,0.02
06:32.0,-0.02
06:32.0,-0.02
06:32.0,0.06
