Time,Reading
37:23.1,0
37:23.1,-0.08
37:23.1,-0.08
37:23.1,-0.08
37:23.1,-0.06
37:23.1,-0.02
37:23.1,-0.02
37:23.1,-0.02
37:23.1,0
37:23.1,-0.08
37:23.1,-0.04
37:23.1,-0.08
37:23.1,-0.04
37:23.1,-0.02
37:23.1,-0.06
37:23.1,-0.02
37:23.1,-0.08
37:23.1,0
37:23.1,-0.08
37:23.1,-0.08
37:23.1,0
37:23.1,-0.04
37:23.1,0
37:23.1,-0.04
37:23.1,-0.02
37:23.1,-0.02
37:23.1,-0.1
37:23.1,-0.02
37:23.1,-0.02
37:23.1,-0.04
37:23.1,-0.04
37:23.1,-0.04
37:23.1,-0.02
37:23.1,-0.02
37:23.1,0
37:23.1,-0.06
37:23.1,0
37:23.1,-0.02
37:23.1,-0.04
37:23.1,0
37:23.1,-0.02
37:23.1,0
37:23.1,-0.06
37:23.1,0.04
37:23.1,0
37:23.1,-0.04
37:23.1,-0.02
37:23.1,0.06
37:23.1,0.02
37:23.1,0.06
37:23.1,-0.04
37:23.1,0.08
37:23.1,-0.04
37:23.1,0.02
37:23.1,-0.02
37:23.1,0.08
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0.06
37:23.1,0.06
37:23.1,0.04
37:23.1,0.1
37:23.1,0.04
37:23.1,0.08
37:23.1,0.04
37:23.1,0.02
37:23.1,0.16
37:23.1,0.08
37:23.1,0.08
37:23.1,0.14
37:23.1,0.08
37:23.1,0.06
37:23.1,0.18
37:23.1,0.12
37:23.1,0.22
37:23.1,0.12
37:23.1,0.18
37:23.1,0.22
37:23.1,0.14
37:23.1,0.16
37:23.1,0.28
37:23.1,0.24
37:23.1,0.18
37:23.1,0.3
37:23.1,0.2
37:23.1,0.26
37:23.1,0.24
37:23.1,0.24
37:23.1,0.22
37:23.1,0.26
37:23.1,0.32
37:23.1,0.28
37:23.1,0.22
37:23.1,0.24
37:23.1,0.18
37:23.1,0.14
37:23.1,0.18
37:23.1,0.14
37:23.1,0.1
37:23.1,0.06
37:23.1,0.1
37:23.1,0.02
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0
37:23.1,0
37:23.2,0
37:23.2,0
37:23.2,0
37:23.2,0
37:23.2,-0.02
37:23.2,0
37:23.2,-0.08
